Zone,Company Type,Min Salary,Max Salary,Avg Salary,Experience,In School,Degree,Type
广州市,1,10000,15000,12500,2,0,1,数据分析师
深圳市,1,8000,10000,9000,1,0,2,数据分析师
广州市,1,7000,10000,8500,1,0,2,数据分析师
深圳市,1,15000,28000,21500,1,0,2,数据分析师
广州市,0,7000,10000,8500,1,0,1,数据分析师
深圳市,1,8000,10000,9000,1,0,1,数据分析师
广州市,0,10000,15000,12500,1,0,1,数据分析师
深圳市,0,8000,12000,10000,1,0,1,数据分析师
广州市,1,6000,11000,8500,0,0,2,数据工程师
广州市,1,8000,15000,11500,1,0,1,数据分析师
广州市,1,12500,16666,14583,1,0,2,高级分析师
广州市,1,6000,10000,8000,1,0,2,数据分析师
广州市,1,10000,18000,14000,1,0,1,高级分析师
广州市,1,6000,8000,7000,0,0,1,数据分析师
广州市,1,10000,15000,12500,2,0,2,数据分析师
北京市,1,7000,9000,8000,1,0,2,数据分析师
北京市,1,6000,8000,7000,1,0,2,数据分析师
北京市,0,15000,20000,17500,2,0,2,数据分析师
北京市,0,15000,25000,20000,2,0,0,数据分析师
北京市,0,10000,15000,12500,2,0,2,数据分析师
北京市,1,15000,20000,17500,1,0,2,数据分析师
北京市,1,6000,12000,9000,1,0,1,数据分析师
北京市,1,10000,15000,12500,1,0,1,数据分析师
北京市,0,15000,20000,17500,3,0,2,数据分析师
北京市,1,10000,15000,12500,2,0,2,数据分析师
北京市,0,8000,10000,9000,1,0,1,数据分析师
北京市,1,8000,12000,10000,1,0,2,数据分析师
北京市,1,4000,6000,5000,0,0,2,数据分析师
北京市,1,6000,8000,7000,2,0,2,数据分析师
北京市,0,15000,20000,17500,0,0,0,数据分析师
北京市,0,6666,8333,7500,1,0,1,数据分析师
北京市,1,10000,14000,12000,2,0,2,数据分析师
北京市,1,6000,8000,7000,1,0,1,数据分析师
北京市,0,25000,30000,27500,3,0,1,数据分析师
北京市,0,10000,25000,17500,1,0,2,高级分析师
北京市,1,10000,15000,12500,1,0,2,数据分析师
北京市,1,6000,8000,7000,0,0,1,数据分析师
北京市,0,8000,10000,9000,1,0,2,数据分析师
北京市,1,10000,30000,20000,3,0,2,高级分析师
北京市,1,10000,12000,11000,1,0,2,数据分析师
深圳市,1,10000,15000,12500,1,0,2,数据分析师
北京市,1,8000,15000,11500,1,0,0,数据分析师
北京市,1,25000,29166,27083,3,0,3,数据分析师
北京市,0,12000,22000,17000,1,0,3,数据分析师
北京市,1,10000,15000,12500,2,0,2,高级分析师
北京市,1,20000,25000,22500,1,0,1,数据分析师
武汉市,1,10000,15000,12500,2,0,2,数据分析师
北京市,1,15000,25000,20000,2,0,2,数据分析师
武汉市,1,6000,8000,7000,2,0,2,数据分析师
北京市,1,10000,15000,12500,2,0,2,数据分析师
武汉市,1,6000,10000,8000,2,0,2,数据分析师
武汉市,1,8333,12500,10416,1,0,1,数据分析师
青岛市,1,6000,10000,8000,2,0,2,数据分析师
武汉市,1,5000,7000,6000,1,0,2,数据分析师
北京市,0,20000,30000,25000,2,0,2,数据分析师
北京市,1,6000,10000,8000,2,0,1,数据分析师
武汉市,1,8000,13000,10500,1,0,2,数据分析师
北京市,1,10000,15000,12500,2,0,2,数据分析师
武汉市,1,6000,8000,7000,1,0,2,数据分析师
北京市,1,9000,12000,10500,0,0,3,数据分析师
北京市,1,18000,25000,21500,3,0,2,数据分析师
武汉市,1,8000,15000,11500,1,0,2,数据分析师
武汉市,1,6000,8000,7000,0,0,1,数据分析师
北京市,1,7000,12000,9500,0,0,2,数据分析师
北京市,1,15000,30000,22500,3,0,2,数据分析师
武汉市,1,6000,8000,7000,2,0,2,数据分析师
武汉市,1,7000,12000,9500,2,0,2,数据分析师
北京市,1,20000,25000,22500,3,0,2,数据分析师
武汉市,1,8000,16000,12000,1,0,2,数据分析师
武汉市,1,3000,8000,5500,0,0,2,数据分析师
北京市,1,20000,30000,25000,3,0,2,数据分析师
武汉市,1,6000,12000,9000,1,0,2,数据分析师
北京市,0,20000,40000,30000,3,0,2,高级分析师
武汉市,1,4000,8000,6000,1,0,1,数据分析师
武汉市,1,10000,18000,14000,2,0,2,数据分析师
北京市,0,15000,20000,17500,3,0,2,数据分析师
杭州市,1,6000,10000,8000,0,0,2,数据分析师
武汉市,1,4000,7000,5500,1,0,1,数据分析师
武汉市,1,6000,9000,7500,1,0,2,数据分析师
武汉市,1,8000,12000,10000,2,0,2,数据分析师
武汉市,1,10000,15000,12500,1,0,3,数据分析师
武汉市,1,8000,11000,9500,2,0,2,数据分析师
武汉市,1,4500,6000,5250,1,0,2,数据分析师
武汉市,1,5000,8000,6500,1,0,1,数据分析师
广州市,1,10000,15000,12500,2,0,2,数据分析师
武汉市,1,3800,6000,4900,1,0,2,数据分析师
宁波市,1,13000,18000,15500,1,0,2,数据分析师
武汉市,1,6000,8000,7000,2,0,2,数据分析师
广州市,1,6000,8000,7000,0,0,2,数据分析师
武汉市,0,8000,9000,8500,1,0,1,数据分析师
深圳市,1,8000,10000,9000,0,0,1,数据分析师
广州市,1,8000,13000,10500,2,0,2,数据分析师
上海市,1,8000,10000,9000,1,0,2,数据分析师
上海市,0,25000,35000,30000,1,0,2,数据分析师
深圳市,1,6000,10000,8000,1,0,1,数据分析师
武汉市,1,5000,7000,6000,1,0,2,数据分析师
广州市,1,10000,16000,13000,1,0,2,数据分析师
上海市,0,8000,10000,9000,1,0,1,数据分析师
上海市,1,8000,10000,9000,1,0,1,数据分析师
武汉市,1,5000,8000,6500,2,0,1,数据分析师
深圳市,1,8000,10000,9000,1,0,2,数据分析师
广州市,1,4500,6500,5500,1,0,1,数据分析师
深圳市,1,6000,10000,8000,1,0,1,数据分析师
上海市,0,9000,12000,10500,2,0,2,高级分析师
广州市,1,5000,8000,6500,1,0,2,数据分析师
深圳市,1,8000,10000,9000,0,0,1,数据分析师
武汉市,1,4500,6000,5250,0,0,1,数据分析师
上海市,0,18000,25000,21500,3,0,1,高级分析师
广州市,1,8000,10000,9000,1,0,1,数据分析师
广州市,1,9000,20000,14500,1,0,1,数据分析师
深圳市,1,10000,15000,12500,1,0,2,数据分析师
武汉市,1,10000,20000,15000,1,0,2,数据分析师
深圳市,1,8000,16000,12000,1,0,2,数据分析师
上海市,1,12000,17000,14500,2,0,2,数据分析师
武汉市,1,8333,12500,10416,1,0,1,数据分析师
广州市,1,8666,11916,10291,1,0,2,数据分析师
深圳市,1,20000,25000,22500,3,0,2,高级分析师
深圳市,1,20000,25000,22500,2,0,2,数据分析师
武汉市,1,10000,15000,12500,2,0,1,高级分析师
上海市,1,10000,15000,12500,1,0,2,数据分析师
武汉市,0,10000,20000,15000,0,0,2,数据分析师
深圳市,1,7000,12000,9500,2,0,1,数据分析师
上海市,0,8000,10000,9000,0,0,2,数据分析师
广州市,1,6000,10000,8000,2,0,2,数据分析师
武汉市,1,12500,16666,14583,1,0,1,数据分析师
上海市,0,8000,10000,9000,1,0,2,高级分析师
广州市,1,8000,15000,11500,3,0,1,高级分析师
上海市,0,15000,25000,20000,3,0,2,高级分析师
深圳市,1,5000,10000,7500,1,0,2,数据分析师
武汉市,1,6666,8333,7500,1,0,2,数据分析师
广州市,1,10000,15000,12500,1,0,2,数据分析师
深圳市,1,16250,23833,20041,1,0,2,数据分析师
武汉市,1,10000,20000,15000,2,0,2,数据分析师
上海市,0,10000,20000,15000,2,0,2,数据分析师
广州市,1,5000,12000,8500,1,0,1,数据分析师
深圳市,1,11666,29166,20416,2,0,2,数据分析师
武汉市,1,10000,15000,12500,1,0,2,数据分析师
上海市,0,15000,18000,16500,2,0,2,数据分析师
广州市,1,7000,10000,8500,2,0,2,数据分析师
上海市,1,7000,15000,11000,2,0,2,数据分析师
深圳市,1,10000,18000,14000,1,0,2,数据分析师
武汉市,1,10000,15000,12500,2,0,1,数据分析师
上海市,1,8000,10000,9000,0,0,0,数据分析师
广州市,1,7000,12000,9500,3,0,2,数据分析师
深圳市,1,10000,15000,12500,2,0,2,数据分析师
上海市,0,25000,35000,30000,3,0,2,高级分析师
深圳市,1,8000,15000,11500,0,0,1,数据分析师
武汉市,1,10000,20000,15000,1,0,2,数据分析师
广州市,1,10000,15000,12500,1,0,2,数据分析师
上海市,1,8000,12000,10000,1,0,2,数据分析师
深圳市,1,10000,18000,14000,2,0,2,数据分析师
广州市,1,15000,30000,22500,1,0,2,数据分析师
上海市,1,10000,15000,12500,1,0,2,数据分析师
广州市,1,10000,20000,15000,1,0,2,数据分析师
武汉市,1,5000,8000,6500,0,0,2,数据分析师
上海市,1,10000,20000,15000,1,0,2,数据分析师
武汉市,1,10000,15000,12500,2,0,2,数据分析师
广州市,1,5000,10000,7500,1,0,1,数据分析师
深圳市,1,7000,15000,11000,1,0,2,数据分析师
上海市,1,8000,10000,9000,1,0,2,数据分析师
广州市,1,6000,8000,7000,1,0,0,数据分析师
武汉市,1,8000,10000,9000,1,0,2,数据分析师
深圳市,1,10000,15000,12500,2,0,1,数据分析师
上海市,1,15000,22000,18500,3,0,2,数据分析师
广州市,1,8000,10000,9000,1,0,2,数据分析师
武汉市,0,10000,15000,12500,2,0,2,数据分析师
武汉市,1,5000,10000,7500,2,0,2,数据分析师
上海市,1,8000,16000,12000,1,0,3,数据分析师
广州市,1,8000,10000,9000,1,0,1,数据分析师
深圳市,0,20000,25000,22500,2,0,2,数据分析师
北京市,0,8000,15000,11500,2,0,2,数据分析师
广州市,1,6000,8000,7000,1,0,0,数据分析师
深圳市,1,7000,12000,9500,1,0,2,数据分析师
上海市,1,6000,8000,7000,1,0,2,数据分析师
深圳市,1,15000,20000,17500,2,0,2,数据分析师
上海市,1,15000,25000,20000,1,0,2,数据分析师
武汉市,1,4500,6000,5250,0,0,1,数据分析师
广州市,1,10000,15000,12500,1,0,2,数据分析师
深圳市,1,6900,9800,8350,1,0,1,数据分析师
上海市,1,12000,18000,15000,2,0,2,数据分析师
上海市,1,10000,15000,12500,1,0,2,数据分析师
广州市,0,10000,15000,12500,2,0,2,数据分析师
深圳市,1,9000,12000,10500,1,0,2,数据分析师
上海市,1,9000,12000,10500,1,0,2,数据分析师
广州市,1,8000,10000,9000,2,0,2,数据分析师
深圳市,1,8000,10000,9000,3,0,1,数据分析师
