url,title,area,salary,company_type,requirements,company_name
https://msearch.51job.com/jobs/kunming/132226420.html?jobtype=0_0&rc=03,数据分析(J10569),昆明-盘龙区,1-1.5万/月,民营公司,本科 | 1年,成都数联铭品科技有限公司
https://msearch.51job.com/jobs/kunming/126194487.html?jobtype=0_0&rc=03,数据专员,昆明-盘龙区,4.5-6千/月,民营公司,本科 | 3-4年,昆明箭头环境科技有限公司
https://msearch.51job.com/jobs/zhengzhou/131607858.html?jobtype=0_0&rc=03,数据分析师,郑州-惠济区,4-8千/月,外资（非欧美）,大专 | 2年,郑州思念食品有限公司
https://msearch.51job.com/jobs/zhengzhou/128390538.html?jobtype=0_0&rc=03,数据分析师,郑州,5-8千/月,民营公司,本科 | 无需经验,智器云南京信息科技有限公司
https://msearch.51job.com/jobs/zhengzhou/131417613.html?jobtype=0_0&rc=03,数据分析师,郑州,2-2.5万/月,国企,本科 | 3-4年,中国移动通信有限公司在线营销服务中心
https://msearch.51job.com/jobs/zhengzhou/122563524.html?jobtype=0_0&rc=03,数据分析师,郑州-高新区,3-4.5千/月,民营公司,大专 | 1年,上海睿芽教育科技有限公司
https://msearch.51job.com/jobs/zhengzhou/131031804.html?jobtype=0_0&rc=03,数据分析师,郑州-高新区,1.2-2万/月,国企,本科 | 3-4年,中国移动通信有限公司在线营销服务中心
https://msearch.51job.com/jobs/zhengzhou/122395551.html?jobtype=0_0&rc=03,数据分析师,河南省,1-2万/月,民营公司,本科 | 3-4年,安徽科讯金服科技有限公司
https://msearch.51job.com/jobs/zhengzhou/128979219.html?jobtype=0_0&rc=03,数据分析师,郑州,0.8-1.5万/月,民营公司,本科 | 3-4年,字节跳动
https://msearch.51job.com/jobs/zhengzhou/127511893.html?jobtype=0_0&rc=03,数据分析师/助理+五险一金,郑州-金水区,4.5-6千/月,民营公司,大专 | 无需经验,郑州白露软件科技有限公司
https://msearch.51job.com/jobs/zhengzhou/133544855.html?jobtype=0_0&rc=03,数据分析师,郑州-经开区,0.8-1万/月,民营公司,本科 | 3-4年,植道食品（郑州）有限公司
https://msearch.51job.com/jobs/zhengzhou/132741218.html?jobtype=0_0&rc=03,数据分析师（底薪10000起+双休+七险一金）,郑州-郑东新区,1-2万/月,民营公司,本科 | 3-4年,河南淘钢电子商务有限公司
https://msearch.51job.com/jobs/zhengzhou/131770425.html?jobtype=0_0&rc=03,数据分析师,郑州-金水区,4-7千/月,民营公司,大专 | 1年,河南圆点市场咨询有限公司
https://msearch.51job.com/jobs/zhengzhou/128520195.html?jobtype=0_0&rc=03,数据分析师,郑州-中原区,0.8-1万/月,民营公司,本科 | 1年,河南食族人食品科技有限公司
https://msearch.51job.com/jobs/zhengzhou/129130826.html?jobtype=0_0&rc=03,大气环境数据分析师,郑州-高新区,5-7千/月,民营公司,大专 | 1年,中科宇图科技股份有限公司
https://msearch.51job.com/jobs/zhengzhou/127492522.html?jobtype=0_0&rc=03,临床数据分析师,郑州-郑州航空港区,6-8千/月,民营公司,本科 | 2年,河南爱尔康科技有限公司
https://msearch.51job.com/jobs/henansheng/120244340.html?jobtype=0_0&rc=03,数据分析师,郑州,0.7-1.2万/月,民营公司,本科 | 5-7年,美林数据技术股份有限公司
https://msearch.51job.com/jobs/zhengzhou/124697620.html?jobtype=0_1&rc=03,8k大数据分析师（应届岗位）,北京,0.8-1.5万/月,推广民营公司,大专 | 无需经验,北京联科数信科技有限公司
https://msearch.51job.com/jobs/zhengzhou/128813699.html?jobtype=0_0&rc=03,高级数据分析师(J21152),郑州-郑东新区,0.7-1.2万/月,民营公司,硕士 | 1年,郑州新东方培训学校
https://msearch.51job.com/jobs/zhengzhou/132486174.html?jobtype=0_0&rc=03,市场数据分析师（人力资源方向）,郑州-郑州航空港区,0.8-1万/月,外资（欧美）,本科 | 2年,鸿富锦精密电子（郑州）有限公司
https://msearch.51job.com/jobs/zhengzhou/101886816.html?jobtype=0_0&rc=03,高级数据分析师,郑州,6-8千/月,民营公司,本科 | 3-4年,郑州睿诚金审软件科技股份有限公司
https://msearch.51job.com/jobs/zhengzhou/133543444.html?jobtype=0_0&rc=03,数据挖掘工程师,郑州-郑东新区,0.6-1万/月,民营公司,本科 | 3-4年,河南快客金融服务有限公司
https://msearch.51job.com/jobs/zhengzhou/133661260.html?jobtype=0_0&rc=03,城市货品助理,郑州-二七区,4.5-6千/月,外资（欧美）,大专 | 3-4年,绫致时装（天津）有限公司
https://msearch.51job.com/jobs/zhengzhou/132921837.html?jobtype=0_0&rc=03,数据岗,郑州-管城回族区,5-9千/月,民营公司,本科 | 3-4年,河南中原消费金融股份有限公司
https://msearch.51job.com/jobs/zhengzhou/130384377.html?jobtype=0_0&rc=03,数据分析助理,郑州-金水区,3-4.5千/月,创业公司,本科 | 2年,郑州恩思特企业管理咨询有限公司
https://msearch.51job.com/jobs/zhengzhou/118969762.html?jobtype=0_0&rc=03,数据信息管理员,郑州-郑东新区,0.5-1万/月,合资,高中 | 无需经验,河南拓端长营科技有限公司
https://msearch.51job.com/jobs/zhengzhou/128498219.html?jobtype=0_0&rc=03,201008-数据分析工程师,郑州-中原区,0.5-1万/月,事业单位,本科 | 1年,浙江大学常州工业技术研究院
https://msearch.51job.com/jobs/zhengzhou/129907586.html?jobtype=0_0&rc=03,模型搭建-大数据分析岗,郑州-经开区,7-8千/月,民营公司,本科 | 2年,郑州中兴产业园有限公司
https://msearch.51job.com/jobs/zhengzhou/126311529.html?jobtype=0_0&rc=03,中级数据应用工程师,郑州,0.5-1.2万/月,上市公司,本科 | 1年,东华软件股份公司
https://msearch.51job.com/jobs/zhengzhou/131502676.html?jobtype=0_0&rc=03,运营助理（偏数据分析）,郑州-管城回族区,4-8千/月,民营公司,大专 | 3-4年,黑龙江佳俊农业科技有限公司河南分公司
https://msearch.51job.com/jobs/zhengzhou/133454973.html?jobtype=0_0&rc=03,数据信息管理员,郑州-金水区,6-8千/月,民营公司,大专 | 无需经验,四川亿酉科技有限公司
https://msearch.51job.com/jobs/zhengzhou/132091585.html?jobtype=0_0&rc=03,数据分析主管,郑州-金水区,0.8-1万/月,上市公司,本科 | 2年,网易集团
https://msearch.51job.com/jobs/zhengzhou/132404240.html?jobtype=0_0&rc=03,数据分析专员+五险,郑州,6-8千/月,民营公司,大专 | 无需经验,郑州大宇智慧网络科技有限公司
https://msearch.51job.com/jobs/henansheng/126896205.html?jobtype=0_0&rc=03,数据分析工程师,郑州,1.5-2万/月,上市公司,本科 | 5-7年,郑州宇通客车股份有限公司
https://msearch.51job.com/jobs/zhengzhou/127030226.html?jobtype=0_0&rc=03,数据库开发工程师,郑州-郑东新区,0.8-1.6万/月,国企,本科 | 3-4年,中国电信集团系统集成有限责任公司
https://msearch.51job.com/jobs/zhengzhou/130333641.html?jobtype=0_0&rc=03,BI/数据分析工程师,郑州-高新区,0.8-1.6万/月,民营公司,大专 | 3-4年,河南万算大数据技术有限公司
https://msearch.51job.com/jobs/zhengzhou/119310276.html?jobtype=0_0&rc=03,数据分析支撑工程师,郑州-金水区,6-8千/月,民营公司,本科 | 1年,广州市柏特科技有限公司
https://msearch.51job.com/jobs/luoyang/129333179.html?jobtype=0_0&rc=03,两轮-成本监控-江城(J14376),郑州,1-1.5万/月,民营公司,本科 | 2年,哈啰出行（哈罗单车hellobike）
https://msearch.51job.com/jobs/zhengzhou/126077096.html?jobtype=0_0&rc=03,数据分析工程师(LT15zxb)(J12311),郑州,0.6-1.8万/月,上市公司,本科 | 1年,北京东方国信科技股份有限公司
https://msearch.51job.com/jobs/zhengzhou/132994636.html?jobtype=0_0&rc=03,数据分析专员,郑州-金水区,7-9千/月,民营公司,大专 | 1年,南京欣网互联网络科技有限公司
https://msearch.51job.com/jobs/zhengzhou/131132443.html?jobtype=0_0&rc=03,数据分析员,郑州-中原区,5-6万/年,民营公司,大专 | 1年,云南维和药业股份有限公司
https://msearch.51job.com/jobs/zhengzhou/130389914.html?jobtype=0_0&rc=03,商品数据分析,郑州,4.5-6千/月,民营公司,大专 | 1年,郑州巨木服饰有限公司
https://msearch.51job.com/jobs/zhengzhou/129431311.html?jobtype=0_0&rc=03,数据员,郑州-郑州航空港区,4.5-6千/月,民营公司,大专 | 2年,百草味
https://msearch.51job.com/jobs/zhengzhou/128085963.html?jobtype=0_0&rc=03,数据分析岗,郑州,6-8千/月,国企,硕士 | 3-4年,中原证券股份有限公司
https://msearch.51job.com/jobs/zhengzhou/129151683.html?jobtype=0_0&rc=03,数据分析师/数据运维,郑州-郑东新区,6-8千/月,民营公司,大专 | 3-4年,大桥石化集团股份有限公司
https://msearch.51job.com/jobs/zhengzhou/131522537.html?jobtype=0_0&rc=03,医学专员/主管/经理（MSL）,郑州,1-1.5万/月,民营公司,硕士 | 2年,南京世和基因生物技术股份有限公司
https://msearch.51job.com/jobs/zhengzhou/133469684.html?jobtype=0_0&rc=03,网络推广专员,郑州-金水区,1-1.5万/月,民营公司,中技 | 无需经验,河南豫城小家房地产营销策划有限公司
https://msearch.51job.com/jobs/zhengzhou/132415733.html?jobtype=0_1&rc=03,系统运维工程师助理,宁波,0.8-1万/月,推广民营公司,本科 | 无需经验,宁波萌牙家科技有限公司
https://msearch.51job.com/jobs/zhengzhou/119625348.html?jobtype=0_0&rc=03,商品运营/数据分析,郑州-中原区,3-5千/月,民营公司,大专 | 1年,郑州云顶服饰有限公司
https://msearch.51job.com/jobs/zhengzhou/113091832.html?jobtype=0_0&rc=03,银行高级架构师（郑州）,郑州-金水区,1.2-2.3万/月,民营公司,本科 | 5-7年,赞同科技股份有限公司
